file_path,file_name,status,file_type,parse_method,chunk_count,avg_token_per_chunk,school_detected,year_detected,doc_type,has_ocr,char_count_raw,char_count_clean,needs_review,error_msg,processed_at
11 GPA/AP IB Alevel三大课程对比3.pdf,AP IB Alevel三大课程对比3.pdf,success,.pdf,tesseract-ocr,63,142,通用,unknown,标化资料,True,16344,11516,False,,2026-06-04
11 GPA/AP IB Alevel三大课程对比2.pdf,AP IB Alevel三大课程对比2.pdf,success,.pdf,tesseract-ocr,52,145,通用,unknown,标化资料,True,14804,10415,False,,2026-06-04
11 GPA/AP IB Alevel三大课程对比.pdf,AP IB Alevel三大课程对比.pdf,success,.pdf,tesseract-ocr,72,77,通用,unknown,标化资料,True,13365,9990,False,,2026-06-04
11 GPA/11.3 IB/may-2021-exam-schedule-english-revised-v2.pdf,may-2021-exam-schedule-english-revised-v2.pdf,success,.pdf,pdfplumber,4,551,通用,2021,其他,False,8243,7508,False,,2026-06-04
11 GPA/11.3 IB/Shanghai American School_Course_Catalogue_2223_Dec15.pdf,Shanghai American School_Course_Catalogue_2223_Dec15.pdf,success,.pdf,pdfplumber,128,319,通用,unknown,课程介绍,False,168499,182697,False,,2026-06-04
11 GPA/11.2 A-Level/深圳_深国交/2019录取结果.pdf,2019录取结果.pdf,success,.pdf,pdfplumber,13,706,深圳_深国交,2019,录取结果,False,9077,10133,False,,2026-06-04
11 GPA/11.2 A-Level/深圳_深国交/2018录取结果.pdf,2018录取结果.pdf,success,.pdf,pdfplumber,14,735,深圳_深国交,2018,录取结果,False,9564,10668,False,,2026-06-04
11 GPA/11.2 A-Level/深圳_深国交/2021录取结果.pdf,2021录取结果.pdf,success,.pdf,tesseract-ocr,15,212,深圳_深国交,2021,录取结果,True,8096,7536,False,,2026-06-04
11 GPA/11.2 A-Level/深圳_深国交/2020录取结果.pdf,2020录取结果.pdf,success,.pdf,pdfplumber,16,717,深圳_深国交,2020,录取结果,False,10817,12292,False,,2026-06-04
11 GPA/11.1 AP/上海_星河湾/2020年 星河湾 申请录取结果.pdf,2020年 星河湾 申请录取结果.pdf,success,.pdf,pdfplumber,5,442,上海_星河湾,2020,录取结果,False,1786,1891,False,,2026-06-04
