file_path,file_name,status,file_type,parse_method,chunk_count,avg_token_per_chunk,school_detected,year_detected,doc_type,has_ocr,char_count_raw,char_count_clean,needs_review,error_msg,processed_at
03-院校库/美国-常青藤/哈佛大学.md,哈佛大学.md,empty,.md,markdown-heading,0,0,哈佛大学,unknown,school_profile,False,0,0,True,,2026-06-08
03-院校库/美国-常青藤/哥伦比亚大学.md,哥伦比亚大学.md,success,.md,markdown-heading,5,273,哥伦比亚大学,unknown,school_profile,False,1714,1487,False,,2026-06-08
03-院校库/美国-常青藤/宾夕法尼亚大学.md,宾夕法尼亚大学.md,success,.md,markdown-heading,5,183,宾夕法尼亚大学,unknown,school_profile,False,1258,1008,False,,2026-06-08
03-院校库/美国-常青藤/布朗大学.md,布朗大学.md,success,.md,markdown-heading,5,196,布朗大学,unknown,school_profile,False,1257,1039,False,,2026-06-08
03-院校库/美国-常青藤/普林斯顿大学.md,普林斯顿大学.md,success,.md,markdown-heading,5,265,普林斯顿大学,unknown,school_profile,False,1601,1392,False,,2026-06-08
03-院校库/美国-常青藤/耶鲁大学.md,耶鲁大学.md,success,.md,markdown-heading,5,263,耶鲁大学,unknown,school_profile,False,1550,1336,False,,2026-06-08
03-院校库/美国-常青藤/达特茅斯学院.md,达特茅斯学院.md,success,.md,markdown-heading,3,126,达特茅斯学院,unknown,school_profile,False,834,424,False,,2026-06-08
03-院校库/美国-顶尖大学/斯坦福大学.md,斯坦福大学.md,success,.md,markdown-heading,5,239,斯坦福大学,unknown,school_profile,False,1436,1205,False,,2026-06-08
03-院校库/美国-顶尖大学/更多院校汇总.md,更多院校汇总.md,success,.md,markdown-heading,5,332,更多院校汇总,unknown,school_profile,False,1949,1829,False,,2026-06-08
03-院校库/美国顶尖大学深度档案.md,美国顶尖大学深度档案.md,success,.md,markdown-heading,16,481,通用,2026,school_profile,False,10472,9184,False,,2026-06-08
04-课程体系/A-Level课程完整指南.md,A-Level课程完整指南.md,success,.md,markdown-heading,6,158,通用,2026,课程介绍,False,2001,1365,False,,2026-06-08
04-课程体系/AP课程完整指南.md,AP课程完整指南.md,success,.md,markdown-heading,3,254,通用,2026,课程介绍,False,2615,1723,False,,2026-06-08
04-课程体系/IB课程完整指南.md,IB课程完整指南.md,success,.md,markdown-heading,6,162,通用,2026,课程介绍,False,2122,1495,False,,2026-06-08
04-课程体系/重点AP高中档案-新增.md,重点AP高中档案-新增.md,success,.md,markdown-heading,17,516,通用,2026,课程介绍,False,10952,10553,False,,2026-06-08
04-课程体系/重点IB-ALevel高中档案.md,重点IB-ALevel高中档案.md,success,.md,markdown-heading,43,194,通用,2026,课程介绍,False,11304,10162,False,,2026-06-08
04-课程体系/重点国际学校档案.md,重点国际学校档案.md,success,.md,markdown-heading,17,400,通用,2026,课程介绍,False,8548,8131,False,,2026-06-08
05-标化考试/SAT-ACT考试指南.md,SAT-ACT考试指南.md,success,.md,markdown-heading,7,316,通用,2026,标化资料,False,3478,3139,False,,2026-06-08
05-标化考试/TOEFL-IELTS英语考试指南.md,TOEFL-IELTS英语考试指南.md,success,.md,markdown-heading,5,384,通用,2026,标化资料,False,2639,2422,False,,2026-06-08
06-专业选校/2025顶尖美本录取数据分析.md,2025顶尖美本录取数据分析.md,success,.md,markdown-heading,10,238,通用,2026,叙述文章,False,3684,3149,False,,2026-06-08
06-专业选校/ED-EA选校策略指南.md,ED-EA选校策略指南.md,success,.md,markdown-heading,8,205,通用,2026,叙述文章,False,2759,2301,False,,2026-06-08
06-专业选校/北京顶级AP高中历届录取案例分析2016-2018.md,北京顶级AP高中历届录取案例分析2016-2018.md,success,.md,markdown-heading,17,356,通用,2026,叙述文章,False,7276,6540,False,,2026-06-08
06-专业选校/申请季顾问全流程月度工作手册.md,申请季顾问全流程月度工作手册.md,success,.md,markdown-heading,12,274,通用,2026,叙述文章,False,5353,4301,False,,2026-06-08
06-专业选校/留学申请顾问服务SOP与话术指南.md,留学申请顾问服务SOP与话术指南.md,success,.md,markdown-heading,7,359,通用,2026,叙述文章,False,3174,2746,False,,2026-06-08
06-专业选校/美国大学中国区录取数据库2022.md,美国大学中国区录取数据库2022.md,success,.md,markdown-heading,8,600,通用,2026,叙述文章,False,6957,7155,False,,2026-06-08
06-专业选校/美国大学申请数据TOP30.md,美国大学申请数据TOP30.md,success,.md,markdown-heading,37,155,通用,2026,叙述文章,False,8373,7407,False,,2026-06-08
06-专业选校/美国申请体系与轮次.md,美国申请体系与轮次.md,success,.md,markdown-heading,9,418,通用,2026,叙述文章,False,6876,6823,False,,2026-06-08
06-专业选校/美国留学申请季操作手册.md,美国留学申请季操作手册.md,success,.md,markdown-heading,7,335,通用,2026,叙述文章,False,3481,3076,False,,2026-06-08
06-专业选校/美本推荐信撰写指南-给中国老师.md,美本推荐信撰写指南-给中国老师.md,success,.md,markdown-heading,6,197,通用,2026,叙述文章,False,2688,2076,False,,2026-06-08
06-专业选校/英加大学选校指南.md,英加大学选校指南.md,success,.md,markdown-heading,10,339,通用,2026,叙述文章,False,5150,4016,False,,2026-06-08
06-专业选校/音乐专业申请指南-美国TOP30.md,音乐专业申请指南-美国TOP30.md,success,.md,markdown-heading,5,356,通用,2026,叙述文章,False,3670,3194,False,,2026-06-08
06-专业选校/顶校录取案例策略精选.md,顶校录取案例策略精选.md,success,.md,markdown-heading,11,511,通用,2026,叙述文章,False,7914,5750,False,,2026-06-08
06-专业选校/顶校录取案例补充2020-2023.md,顶校录取案例补充2020-2023.md,success,.md,markdown-heading,11,430,通用,2026,叙述文章,False,5931,5276,False,,2026-06-08
07-背景提升/Personal-Project设计与文书写作实战.md,Personal-Project设计与文书写作实战.md,success,.md,markdown-heading,4,582,通用,2026,叙述文章,False,3278,2747,False,,2026-06-08
07-背景提升/创意个人项目库-跨学科方向.md,创意个人项目库-跨学科方向.md,success,.md,markdown-heading,7,323,通用,2026,叙述文章,False,3323,2898,False,,2026-06-08
07-背景提升/学科项目库-人文理工.md,学科项目库-人文理工.md,success,.md,markdown-heading,11,501,通用,2026,叙述文章,False,7670,7149,False,,2026-06-08
07-背景提升/竞赛指南.md,竞赛指南.md,success,.md,markdown-heading,13,303,通用,2026,叙述文章,False,5965,5318,False,,2026-06-08
07-背景提升/综合学术竞赛与商科项目库.md,综合学术竞赛与商科项目库.md,success,.md,markdown-heading,7,326,通用,2026,叙述文章,False,3431,2861,False,,2026-06-08
07-背景提升/美研Essay写作指南.md,美研Essay写作指南.md,success,.md,markdown-heading,13,266,通用,2026,叙述文章,False,4746,4080,False,,2026-06-08
07-背景提升/美研PS写作指南.md,美研PS写作指南.md,success,.md,markdown-heading,13,276,通用,2026,叙述文章,False,5495,4776,False,,2026-06-08
07-背景提升/顶尖暑期项目库.md,顶尖暑期项目库.md,success,.md,markdown-heading,27,174,通用,2026,叙述文章,False,8616,7994,False,,2026-06-08
07-背景提升/顶校Essay范文精选.md,顶校Essay范文精选.md,success,.md,markdown-heading,9,239,通用,2026,叙述文章,False,6872,2096,False,,2026-06-08
07-背景提升/顶校夏校申请要素与面试准备.md,顶校夏校申请要素与面试准备.md,success,.md,markdown-heading,9,213,通用,2026,叙述文章,False,4304,3633,False,,2026-06-08
